y,x,elevation,forest,water
367764.325,503625.6416,1058,32,5
367764.325,504125.826,1084,41,5
367764.325,504626.0104,891,40,5
367264.2334,479116.6052,571,44,5
367264.2334,479616.7896,558,32,5
367264.2334,480116.974,466,32,5
367264.2334,480617.1584,425,35,5
367264.2334,481117.3428,452,37,5
367264.2334,481617.5272,442,35,5
367264.2334,482117.7117,336,39,5
367264.2334,482617.8961,385,27,5
367264.2334,483118.0805,551,38,5
367264.2334,483618.2649,551,38,5
367264.2334,484118.4493,519,31,5
367264.2334,487619.7402,278,19,5
367264.2334,488119.9247,278,19,5
367264.2334,488620.1091,300,22,5
367264.2334,489120.2935,259,18,5
367264.2334,489620.4779,265,23,5
367264.2334,490120.6623,362,21,5
367264.2334,490620.8467,411,23,5
367264.2334,491121.0312,449,36,5
367264.2334,491621.2156,533,37,5
367264.2334,492121.4,566,28,5
367264.2334,492621.5844,566,28,5
367264.2334,493121.7688,530,42,5
367264.2334,493621.9532,535,41,5
367264.2334,494122.1377,527,47,5
367264.2334,494622.3221,560,32,5
367264.2334,495122.5065,647,45,5
367264.2334,495622.6909,585,46,5
367264.2334,496122.8753,425,41,5
367264.2334,496623.0597,329,36,5
367264.2334,497123.2442,329,36,5
367264.2334,497623.4286,339,32,5
367264.2334,498123.613,401,35,5
367264.2334,498623.7974,507,42,5
367264.2334,499123.9818,669,40,5
367264.2334,499624.1662,823,43,5
367264.2334,500124.3507,736,29,5
367264.2334,500624.5351,661,32,5
367264.2334,501124.7195,1046,28,5
367264.2334,501624.9039,1095,28,5
367264.2334,502125.0883,1095,27,5
367264.2334,502625.2727,1015,40,5
367264.2334,503125.4572,958,36,5
367264.2334,503625.6416,987,30,5
367264.2334,504125.826,1040,35,5
367264.2334,504626.0104,1104,39,5
367264.2334,505126.1948,1029,44,5
366764.1419,479116.6052,547,33,5
366764.1419,479616.7896,496,33,5
366764.1419,480116.974,434,36,5
366764.1419,480617.1584,420,41,5
366764.1419,481117.3428,348,41,5
366764.1419,481617.5272,352,41,5
366764.1419,482117.7117,315,31,5
366764.1419,482617.8961,422,38,5
366764.1419,483118.0805,444,28,5
366764.1419,483618.2649,444,28,5
366764.1419,484118.4493,392,31,5
366764.1419,484618.6337,384,29,5
366764.1419,485118.8182,449,33,5
366764.1419,485619.0026,377,27,5
366764.1419,486119.187,326,18,5
366764.1419,486619.3714,222,16,5
366764.1419,487119.5558,273,26,5
366764.1419,487619.7402,279,16,5
366764.1419,488119.9247,279,16,5
366764.1419,488620.1091,274,15,5
366764.1419,489120.2935,329,23,5
366764.1419,489620.4779,363,22,5
366764.1419,490120.6623,378,34,5
366764.1419,490620.8467,353,34,5
366764.1419,491121.0312,420,39,5
366764.1419,491621.2156,529,35,5
366764.1419,492121.4,682,30,5
366764.1419,492621.5844,682,30,5
366764.1419,493121.7688,665,36,5
366764.1419,493621.9532,663,36,5
366764.1419,494122.1377,566,35,5
366764.1419,494622.3221,436,29,5
366764.1419,495122.5065,405,39,5
366764.1419,495622.6909,414,38,5
366764.1419,496122.8753,345,26,5
366764.1419,496623.0597,305,32,5
366764.1419,497123.2442,305,32,5
366764.1419,497623.4286,405,32,5
366764.1419,498123.613,522,39,5
366764.1419,498623.7974,664,40,5
366764.1419,499123.9818,828,37,5
366764.1419,499624.1662,897,37,5
366764.1419,500124.3507,791,22,5
366764.1419,500624.5351,721,26,5
366764.1419,501124.7195,900,47,5
366764.1419,501624.9039,1076,47,5
366764.1419,502125.0883,1076,42,5
366764.1419,502625.2727,1092,32,5
366764.1419,503125.4572,1000,26,5
366764.1419,503625.6416,965,30,5
366764.1419,504125.826,1004,32,5
366764.1419,504626.0104,1069,33,5
366764.1419,505126.1948,952,34,5
366764.1419,505626.3792,662,38,5
366264.0504,478616.4207,547,35,5
366264.0504,479116.6052,547,35,5
366264.0504,479616.7896,458,32,5
366264.0504,480116.974,468,35,5
366264.0504,480617.1584,510,32,5
366264.0504,481117.3428,438,38,5
366264.0504,481617.5272,396,39,5
366264.0504,482117.7117,346,27,5
366264.0504,482617.8961,322,30,5
366264.0504,483118.0805,376,29,5
366264.0504,483618.2649,376,29,5
366264.0504,484118.4493,336,38,5
366264.0504,484618.6337,408,35,5
366264.0504,485118.8182,450,28,5
366264.0504,485619.0026,401,37,5
366264.0504,486119.187,330,35,5
366264.0504,486619.3714,343,23,5
366264.0504,487119.5558,310,15,5
366264.0504,487619.7402,269,13,5
366264.0504,488119.9247,269,13,5
366264.0504,488620.1091,321,15,5
366264.0504,489120.2935,355,35,5
366264.0504,489620.4779,338,29,5
366264.0504,490120.6623,293,32,5
366264.0504,490620.8467,289,35,5
366264.0504,491121.0312,339,36,5
366264.0504,491621.2156,481,39,5
366264.0504,492121.4,560,40,5
366264.0504,492621.5844,560,40,5
366264.0504,493121.7688,562,42,5
366264.0504,493621.9532,573,41,5
366264.0504,494122.1377,620,31,5
366264.0504,494622.3221,497,34,5
366264.0504,495122.5065,359,29,5
366264.0504,495622.6909,337,32,24
366264.0504,496122.8753,304,41,5
366264.0504,496623.0597,375,30,5
366264.0504,497123.2442,375,30,5
366264.0504,497623.4286,585,42,5
366264.0504,498123.613,681,43,5
366264.0504,498623.7974,820,47,5
366264.0504,499123.9818,946,46,5
366264.0504,499624.1662,851,35,5
366264.0504,500124.3507,774,40,5
366264.0504,500624.5351,817,44,5
366264.0504,501124.7195,813,38,5
366264.0504,501624.9039,813,38,5
366264.0504,502125.0883,891,26,5
366264.0504,502625.2727,974,38,5
366264.0504,503125.4572,1071,32,5
366264.0504,503625.6416,1025,34,5
366264.0504,504125.826,990,32,5
366264.0504,504626.0104,1025,36,5
366264.0504,505126.1948,1092,30,5
366264.0504,505626.3792,884,44,5
366264.0504,506126.5637,863,44,5
365763.9589,478616.4207,538,37,5
365763.9589,479116.6052,538,37,5
365763.9589,479616.7896,458,33,5
365763.9589,480116.974,468,34,5
365763.9589,480617.1584,510,38,5
365763.9589,481117.3428,438,32,5
365763.9589,481617.5272,396,34,5
365763.9589,482117.7117,346,32,5
365763.9589,482617.8961,322,33,5
365763.9589,483118.0805,376,35,5
365763.9589,483618.2649,376,35,5
365763.9589,484118.4493,336,40,5
365763.9589,484618.6337,408,39,5
365763.9589,485118.8182,450,31,5
365763.9589,485619.0026,401,34,5
365763.9589,486119.187,330,38,5
365763.9589,486619.3714,343,17,5
365763.9589,487119.5558,310,13,5
365763.9589,487619.7402,269,14,5
365763.9589,488119.9247,269,14,5
365763.9589,488620.1091,321,29,5
365763.9589,489120.2935,355,22,5
365763.9589,489620.4779,338,13,5
365763.9589,490120.6623,293,17,5
365763.9589,490620.8467,289,22,5
365763.9589,491121.0312,339,24,5
365763.9589,491621.2156,481,41,5
365763.9589,492121.4,560,35,5
365763.9589,492621.5844,560,35,5
365763.9589,493121.7688,562,35,5
365763.9589,493621.9532,573,44,5
365763.9589,494122.1377,620,38,5
365763.9589,494622.3221,497,37,5
365763.9589,495122.5065,359,34,5
365763.9589,495622.6909,337,38,5
365763.9589,496122.8753,304,47,5
365763.9589,496623.0597,375,37,5
365763.9589,497123.2442,375,37,5
365763.9589,497623.4286,585,41,5
365763.9589,498123.613,681,45,5
365763.9589,498623.7974,820,47,5
365763.9589,499123.9818,946,42,5
365763.9589,499624.1662,851,34,5
365763.9589,500124.3507,774,40,5
365763.9589,500624.5351,817,43,5
365763.9589,501124.7195,813,32,5
365763.9589,501624.9039,813,32,5
365763.9589,502125.0883,891,34,5
365763.9589,502625.2727,974,30,5
365763.9589,503125.4572,1071,41,5
365763.9589,503625.6416,1025,35,5
365763.9589,504125.826,990,31,5
365763.9589,504626.0104,1025,34,5
365763.9589,505126.1948,1092,33,5
365763.9589,505626.3792,884,38,5
365763.9589,506126.5637,863,38,5
365763.9589,506626.7481,863,40,5
365263.8674,478116.2363,669,34,5
365263.8674,478616.4207,503,39,5
365263.8674,479116.6052,503,39,5
365263.8674,479616.7896,542,37,5
365263.8674,480116.974,576,34,5
365263.8674,480617.1584,579,32,5
365263.8674,481117.3428,535,34,5
365263.8674,481617.5272,465,31,5
365263.8674,482117.7117,500,25,5
365263.8674,482617.8961,442,32,5
365263.8674,483118.0805,283,30,5
365263.8674,483618.2649,283,30,5
365263.8674,484118.4493,327,35,5
365263.8674,484618.6337,421,30,5
365263.8674,485118.8182,388,29,5
365263.8674,485619.0026,297,23,5
365263.8674,486119.187,293,23,5
365263.8674,486619.3714,303,12,5
365263.8674,487119.5558,284,12,5
365263.8674,487619.7402,286,15,5
365263.8674,488119.9247,286,15,5
365263.8674,488620.1091,326,15,5
365263.8674,489120.2935,288,13,5
365263.8674,489620.4779,287,12,5
365263.8674,490120.6623,266,14,5
365263.8674,490620.8467,268,13,5
365263.8674,491121.0312,295,13,5
365263.8674,491621.2156,357,13,5
365263.8674,492121.4,375,14,5
365263.8674,492621.5844,375,14,5
365263.8674,493121.7688,373,15,5
365263.8674,493621.9532,400,20,5
365263.8674,494122.1377,451,20,5
365263.8674,494622.3221,446,31,5
365263.8674,495122.5065,372,28,5
365263.8674,495622.6909,278,31,5
365263.8674,496122.8753,299,42,5
365263.8674,496623.0597,495,41,5
365263.8674,497123.2442,495,41,5
365263.8674,497623.4286,692,42,5
365263.8674,498123.613,808,47,5
365263.8674,498623.7974,925,46,5
365263.8674,499123.9818,935,37,5
365263.8674,499624.1662,808,30,5
365263.8674,500124.3507,777,38,5
365263.8674,500624.5351,872,40,5
365263.8674,501124.7195,778,23,5
365263.8674,501624.9039,778,23,5
365263.8674,502125.0883,824,36,5
365263.8674,502625.2727,857,31,5
365263.8674,503125.4572,1086,43,5
365263.8674,503625.6416,1153,39,5
365263.8674,504125.826,1080,24,5
365263.8674,504626.0104,996,34,5
365263.8674,505126.1948,1085,39,5
365263.8674,505626.3792,1166,26,5
365263.8674,506126.5637,1136,26,5
365263.8674,506626.7481,1136,29,5
365263.8674,507126.9325,848,40,5
364763.7759,477616.0519,731,35,5
364763.7759,478116.2363,636,38,5
364763.7759,478616.4207,553,38,5
364763.7759,479116.6052,553,36,5
364763.7759,479616.7896,636,35,5
364763.7759,480116.974,707,37,5
364763.7759,480617.1584,673,39,5
364763.7759,481117.3428,647,37,5
364763.7759,481617.5272,551,36,5
364763.7759,482117.7117,536,35,5
364763.7759,482617.8961,437,30,5
364763.7759,483118.0805,276,28,5
364763.7759,483618.2649,276,28,5
364763.7759,484118.4493,294,29,5
364763.7759,484618.6337,346,29,5
364763.7759,485118.8182,338,30,5
364763.7759,485619.0026,299,27,5
364763.7759,486119.187,274,19,5
364763.7759,486619.3714,276,14,5
364763.7759,487119.5558,270,13,5
364763.7759,487619.7402,313,17,5
364763.7759,488119.9247,313,17,5
364763.7759,488620.1091,288,20,5
364763.7759,489120.2935,259,13,5
364763.7759,489620.4779,258,14,5
364763.7759,490120.6623,271,13,5
364763.7759,490620.8467,288,21,5
364763.7759,491121.0312,302,21,5
364763.7759,491621.2156,314,36,5
364763.7759,492121.4,278,14,5
364763.7759,492621.5844,278,14,5
364763.7759,493121.7688,260,23,5
364763.7759,493621.9532,267,10,5
364763.7759,494122.1377,280,19,5
364763.7759,494622.3221,293,36,5
364763.7759,495122.5065,301,42,5
364763.7759,495622.6909,277,36,5
364763.7759,496122.8753,266,36,5
364763.7759,496623.0597,400,35,5
364763.7759,497123.2442,400,35,5
364763.7759,497623.4286,474,43,5
364763.7759,498123.613,648,37,5
364763.7759,498623.7974,912,51,5
364763.7759,499123.9818,916,41,5
364763.7759,499624.1662,787,44,5
364763.7759,500124.3507,836,42,5
364763.7759,500624.5351,918,35,5
364763.7759,501124.7195,797,36,5
364763.7759,501624.9039,797,36,5
364763.7759,502125.0883,792,30,5
364763.7759,502625.2727,896,28,5
364763.7759,503125.4572,1084,43,5
364763.7759,503625.6416,1158,35,5
364763.7759,504125.826,1167,28,5
364763.7759,504626.0104,1046,26,5
364763.7759,505126.1948,1017,26,5
364763.7759,505626.3792,1193,23,5
364763.7759,506126.5637,1222,23,5
364763.7759,506626.7481,1222,28,5
364763.7759,507126.9325,902,29,5
364763.7759,507627.1169,845,39,5
364263.6844,477115.8675,780,28,5
364263.6844,477616.0519,697,35,5
364263.6844,478116.2363,626,38,5
364263.6844,478616.4207,647,38,5
364263.6844,479116.6052,647,36,5
364263.6844,479616.7896,719,35,5
364263.6844,480116.974,627,37,5
364263.6844,480617.1584,528,39,5
364263.6844,481117.3428,541,37,5
364263.6844,481617.5272,490,36,5
364263.6844,482117.7117,464,35,5
364263.6844,482617.8961,434,30,5
364263.6844,483118.0805,291,28,5
364263.6844,483618.2649,291,28,5
364263.6844,484118.4493,274,29,5
364263.6844,484618.6337,281,29,5
364263.6844,485118.8182,289,30,5
364263.6844,485619.0026,329,27,5
364263.6844,486119.187,257,19,5
364263.6844,486619.3714,267,14,5
364263.6844,487119.5558,263,13,5
364263.6844,487619.7402,311,17,5
364263.6844,488119.9247,311,17,5
364263.6844,488620.1091,264,20,5
364263.6844,489120.2935,259,13,5
364263.6844,489620.4779,287,14,5
364263.6844,490120.6623,291,13,5
364263.6844,490620.8467,283,21,5
364263.6844,491121.0312,318,21,5
364263.6844,491621.2156,313,36,5
364263.6844,492121.4,262,14,5
364263.6844,492621.5844,262,26,5
364263.6844,493121.7688,257,28,5
364263.6844,493621.9532,253,11,5
364263.6844,494122.1377,262,15,5
364263.6844,494622.3221,280,40,5
364263.6844,495122.5065,314,37,5
364263.6844,495622.6909,307,38,5
364263.6844,496122.8753,266,27,5
364263.6844,496623.0597,367,33,5
364263.6844,497123.2442,367,33,5
364263.6844,497623.4286,522,42,5
364263.6844,498123.613,589,42,5
364263.6844,498623.7974,847,49,5
364263.6844,499123.9818,858,36,5
364263.6844,499624.1662,824,44,5
364263.6844,500124.3507,917,40,5
364263.6844,500624.5351,936,32,5
364263.6844,501124.7195,775,39,5
364263.6844,501624.9039,775,39,5
364263.6844,502125.0883,783,26,5
364263.6844,502625.2727,839,22,5
364263.6844,503125.4572,994,45,5
364263.6844,503625.6416,1093,41,5
364263.6844,504125.826,1170,39,5
364263.6844,504626.0104,1164,24,5
364263.6844,505126.1948,1084,26,5
364263.6844,505626.3792,1175,27,5
364263.6844,506126.5637,1200,27,5
364263.6844,506626.7481,1200,30,5
364263.6844,507126.9325,1209,29,5
364263.6844,507627.1169,1091,35,5
364263.6844,508127.3013,842,45,5
363763.5929,476615.6831,760,31,5
363763.5929,477115.8675,727,29,5
363763.5929,477616.0519,676,37,5
363763.5929,478116.2363,694,34,5
363763.5929,478616.4207,716,34,5
363763.5929,479116.6052,716,37,5
363763.5929,479616.7896,766,38,5
363763.5929,480116.974,662,38,5
363763.5929,480617.1584,504,41,5
363763.5929,481117.3428,439,43,5
363763.5929,481617.5272,421,38,5
363763.5929,482117.7117,358,38,5
363763.5929,482617.8961,366,25,5
363763.5929,483118.0805,341,33,5
363763.5929,483618.2649,341,33,5
363763.5929,484118.4493,280,31,5
363763.5929,484618.6337,257,33,5
363763.5929,485118.8182,257,26,5
363763.5929,485619.0026,271,24,5
363763.5929,486119.187,257,19,5
363763.5929,486619.3714,257,14,5
363763.5929,487119.5558,271,14,5
363763.5929,487619.7402,299,14,5
363763.5929,488119.9247,299,14,5
363763.5929,488620.1091,256,12,5
363763.5929,489120.2935,282,13,5
363763.5929,489620.4779,301,15,5
363763.5929,490120.6623,282,12,5
363763.5929,490620.8467,261,15,5
363763.5929,491121.0312,265,18,5
363763.5929,491621.2156,256,14,5
363763.5929,492121.4,260,26,5
363763.5929,492621.5844,260,26,5
363763.5929,493121.7688,269,28,5
363763.5929,493621.9532,264,11,5
363763.5929,494122.1377,259,15,5
363763.5929,494622.3221,325,40,5
363763.5929,495122.5065,419,37,5
363763.5929,495622.6909,413,38,5
363763.5929,496122.8753,333,27,5
363763.5929,496623.0597,388,33,5
363763.5929,497123.2442,388,33,5
363763.5929,497623.4286,421,42,5
363763.5929,498123.613,628,42,5
363763.5929,498623.7974,834,49,5
363763.5929,499123.9818,933,36,5
363763.5929,499624.1662,907,44,5
363763.5929,500124.3507,926,40,5
363763.5929,500624.5351,866,32,5
363763.5929,501124.7195,825,39,5
363763.5929,501624.9039,825,39,5
363763.5929,502125.0883,797,26,5
363763.5929,502625.2727,841,22,5
363763.5929,503125.4572,874,45,5
363763.5929,503625.6416,990,41,5
363763.5929,504125.826,1061,39,5
363763.5929,504626.0104,1141,24,5
363763.5929,505126.1948,1118,26,5
363763.5929,505626.3792,1162,27,5
363763.5929,506126.5637,1186,27,5
363763.5929,506626.7481,1186,30,5
363763.5929,507126.9325,1254,29,5
363763.5929,507627.1169,1105,35,5
363763.5929,508127.3013,889,45,5
363763.5929,508627.4857,880,41,5
363263.5014,475615.3142,574,52,5
363263.5014,476115.4987,763,29,5
363263.5014,476615.6831,780,35,5
363263.5014,477115.8675,737,28,5
363263.5014,477616.0519,715,35,5
363263.5014,478116.2363,744,35,5
363263.5014,478616.4207,760,35,5
363263.5014,479116.6052,760,34,5
363263.5014,479616.7896,710,40,5
363263.5014,480116.974,653,37,5
363263.5014,480617.1584,600,41,5
363263.5014,481117.3428,508,37,5
363263.5014,481617.5272,375,38,5
363263.5014,482117.7117,314,30,5
363263.5014,482617.8961,291,33,5
363263.5014,483118.0805,268,37,5
363263.5014,483618.2649,268,37,5
363263.5014,484118.4493,265,27,5
363263.5014,484618.6337,281,23,5
363263.5014,485118.8182,272,30,5
363263.5014,485619.0026,244,21,5
363263.5014,486119.187,260,11,5
363263.5014,486619.3714,248,30,5
363263.5014,487119.5558,269,13,5
363263.5014,487619.7402,262,12,5
363263.5014,488119.9247,262,12,5
363263.5014,488620.1091,281,14,5
363263.5014,489120.2935,299,17,5
363263.5014,489620.4779,269,15,5
363263.5014,490120.6623,261,13,5
363263.5014,490620.8467,252,14,5
363263.5014,491121.0312,256,16,5
363263.5014,491621.2156,253,13,5
363263.5014,492121.4,255,20,5
363263.5014,492621.5844,255,20,5
363263.5014,493121.7688,261,13,5
363263.5014,493621.9532,265,11,5
363263.5014,494122.1377,261,11,5
363263.5014,494622.3221,299,40,5
363263.5014,495122.5065,370,43,5
363263.5014,495622.6909,478,42,5
363263.5014,496122.8753,369,41,5
363263.5014,496623.0597,437,41,5
363263.5014,497123.2442,437,41,5
363263.5014,497623.4286,513,44,5
363263.5014,498123.613,510,36,5
363263.5014,498623.7974,698,44,5
363263.5014,499123.9818,793,48,5
363263.5014,499624.1662,864,39,5
363263.5014,500124.3507,830,43,5
363263.5014,500624.5351,826,42,5
363263.5014,501124.7195,843,31,5
363263.5014,501624.9039,843,31,5
363263.5014,502125.0883,782,32,5
363263.5014,502625.2727,841,37,5
363263.5014,503125.4572,834,35,5
363263.5014,503625.6416,862,37,5
363263.5014,504125.826,937,40,5
363263.5014,504626.0104,1055,36,5
363263.5014,505126.1948,1067,30,5
363263.5014,505626.3792,1168,26,5
363263.5014,506126.5637,1208,26,5
363263.5014,506626.7481,1208,26,5
363263.5014,507126.9325,1203,32,5
363263.5014,507627.1169,1222,27,5
363263.5014,508127.3013,1226,31,5
363263.5014,508627.4857,1176,32,5
363263.5014,509127.6702,917,41,5
362763.4099,475115.1298,671,47,5
362763.4099,475615.3142,788,42,5
362763.4099,476115.4987,775,39,5
362763.4099,476615.6831,770,36,5
362763.4099,477115.8675,771,36,5
362763.4099,477616.0519,778,33,5
362763.4099,478116.2363,763,31,5
362763.4099,478616.4207,536,31,5
362763.4099,479116.6052,536,44,5
362763.4099,479616.7896,490,43,5
362763.4099,480116.974,493,38,5
362763.4099,480617.1584,492,41,5
362763.4099,481117.3428,457,34,5
362763.4099,481617.5272,453,33,5
362763.4099,482117.7117,352,35,5
362763.4099,482617.8961,338,35,5
362763.4099,483118.0805,284,33,5
362763.4099,483618.2649,284,33,5
362763.4099,484118.4493,358,35,5
362763.4099,484618.6337,312,38,5
362763.4099,485118.8182,297,32,5
362763.4099,485619.0026,252,9,5
362763.4099,486119.187,247,11,5
362763.4099,486619.3714,253,25,5
362763.4099,487119.5558,296,26,7
362763.4099,487619.7402,248,21,5
362763.4099,488119.9247,248,21,5
362763.4099,488620.1091,271,26,5
362763.4099,489120.2935,326,26,5
362763.4099,489620.4779,344,31,54
362763.4099,490120.6623,342,30,5
362763.4099,490620.8467,307,17,5
362763.4099,491121.0312,301,13,5
362763.4099,491621.2156,292,17,5
362763.4099,492121.4,249,11,5
362763.4099,492621.5844,249,11,5
362763.4099,493121.7688,259,12,5
362763.4099,493621.9532,257,10,5
362763.4099,494122.1377,257,11,5
362763.4099,494622.3221,276,11,5
362763.4099,495122.5065,267,40,5
362763.4099,495622.6909,276,42,5
362763.4099,496122.8753,329,36,5
362763.4099,496623.0597,559,38,5
362763.4099,497123.2442,559,38,5
362763.4099,497623.4286,632,38,5
362763.4099,498123.613,650,43,5
362763.4099,498623.7974,539,38,5
362763.4099,499123.9818,606,38,5
362763.4099,499624.1662,734,38,5
362763.4099,500124.3507,944,36,5
362763.4099,500624.5351,941,43,5
